#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
.1.3.6.1.4.1.9.1.212,,SWITCH,Switch,Cisco,cisco801,cisco800
.1.3.6.1.4.1.9.1.213,,SWITCH,Switch,Cisco,cisco802,cisco800
.1.3.6.1.4.1.9.1.214,,SWITCH,Switch,Cisco,cisco803,cisco800
.1.3.6.1.4.1.9.1.215,,SWITCH,Switch,Cisco,cisco804,cisco800
.1.3.6.1.4.1.9.1.216,,SWITCH,Switch,Cisco,cisco1750,cisco1700
.1.3.6.1.4.1.9.1.217,,SWITCH,Switch,Cisco,catalyst2924XLv,catalyst2900
.1.3.6.1.4.1.9.1.218,,SWITCH,Switch,Cisco,catalyst2924CXLv,catalyst2900
.1.3.6.1.4.1.9.1.219,,SWITCH,Switch,Cisco,catalyst2912XL,catalyst2900
.1.3.6.1.4.1.9.1.220,,SWITCH,Switch,Cisco,catalyst2924MXL,catalyst2900
.1.3.6.1.4.1.9.1.221,,SWITCH,Switch,Cisco,catalyst2912MfXL,catalyst2900
.1.3.6.1.4.1.9.1.222,,SWITCH,Switch,Cisco,cisco7206VXR,cisco7200
.1.3.6.1.4.1.9.1.223,,SWITCH,Switch,Cisco,cisco7204VXR,cisco7200
.1.3.6.1.4.1.9.1.224,,SWITCH,Switch,Cisco,cisco1538M
.1.3.6.1.4.1.9.1.225,,SWITCH,Switch,Cisco,cisco1548M
.1.3.6.1.4.1.9.1.226,,SWITCH,Switch,Cisco,ciscoFasthub100,ciscoFastHub
.1.3.6.1.4.1.9.1.227,,SWITCH,Switch,Cisco,ciscoPIXFirewall
.1.3.6.1.4.1.9.1.228,,SWITCH,Switch,Cisco,ciscoMGX8850,ciscoMGX
.1.3.6.1.4.1.9.1.229,,SWITCH,Switch,Cisco,ciscoMGX8830,ciscoMGX
.1.3.6.1.4.1.9.1.229,,SWITCH,Switch,Cisco,ciscoMGX8820,ciscoMGX
.1.3.6.1.4.1.9.1.230,,SWITCH,Switch,Cisco,catalyst8510msr,ciscoMSR
.1.3.6.1.4.1.9.1.231,,SWITCH,Switch,Cisco,catalyst8515msr,ciscoMSR
.1.3.6.1.4.1.9.1.232,,SWITCH,Switch,Cisco,ciscoIGX8410,ciscoIGX8400
.1.3.6.1.4.1.9.1.233,,SWITCH,Switch,Cisco,ciscoIGX8420,ciscoIGX8400
.1.3.6.1.4.1.9.1.234,,SWITCH,Switch,Cisco,ciscoIGX8430,ciscoIGX8400
.1.3.6.1.4.1.9.1.235,,SWITCH,Switch,Cisco,ciscoIGX8450,ciscoIGX8400
.1.3.6.1.4.1.9.1.237,,SWITCH,Switch,Cisco,ciscoBPX8620,ciscoBPX8600
.1.3.6.1.4.1.9.1.238,,SWITCH,Switch,Cisco,ciscoBPX8650,ciscoBPX8600
.1.3.6.1.4.1.9.1.239,,SWITCH,Switch,Cisco,ciscoBPX8680,ciscoBPX8600
.1.3.6.1.4.1.9.1.240,,SWITCH,Switch,Cisco,ciscoCacheEngine
.1.3.6.1.4.1.9.1.241,,SWITCH,Switch,Cisco,ciscoCat6000
.1.3.6.1.4.1.9.1.242,,SWITCH,Switch,Cisco,ciscoBPXSes
.1.3.6.1.4.1.9.1.243,,SWITCH,Switch,Cisco,ciscoIGXSes
.1.3.6.1.4.1.9.1.244,,SWITCH,Switch,Cisco,ciscoLocalDirector
.1.3.6.1.4.1.9.1.245,,SWITCH,Switch,Cisco,cisco805,cisco800
.1.3.6.1.4.1.9.1.246,,SWITCH,Switch,Cisco,catalyst3508GXL,catalyst3500
.1.3.6.1.4.1.9.1.247,,SWITCH,Switch,Cisco,catalyst3512XL,catalyst3500
.1.3.6.1.4.1.9.1.248,,SWITCH,Switch,Cisco,catalyst3524XL,catalyst3500
.1.3.6.1.4.1.9.1.249,,SWITCH,Switch,Cisco,cisco1407,cisco1400
.1.3.6.1.4.1.9.1.250,,SWITCH,Switch,Cisco,cisco1417,cisco1400
.1.3.6.1.4.1.9.1.251,,SWITCH,Switch,Cisco,cisco6100,ciscoDSLAM
.1.3.6.1.4.1.9.1.252,,SWITCH,Switch,Cisco,cisco6130,ciscoDSLAM
