UID        PID  PPID  C STIME TTY          TIME CMD
root     21062     1  0 5月31 ?       00:00:00 /bin/sh /app/databases/techsuredb/mariadb/bin/mysqld_safe --defaults-file=/app/databases/techsuredb/conf/my.cnf --user=app --ledir=/app/databases/techsuredb/mariadb/bin --basedir=/app/databases/techsuredb/mariadb --datadir=/app/databases/techsuredb/data
app      21271 21062  0 5月31 ?       06:12:05 /app/databases/techsuredb/mariadb/bin/mysqld --defaults-file=/app/databases/techsuredb/conf/my.cnf --basedir=/app/databases/techsuredb/mariadb --datadir=/app/databases/techsuredb/data --plugin-dir=/app/databases/techsuredb/mariadb/lib/plugin --user=app --log-error=/app/databases/techsuredb/log/mysqld.log --open-files-limit=1000 --pid-file=/app/databases/techsuredb/data/mysqld.pid --socket=/app/databases/techsuredb/data/mysql.sock --port=3306
app      22237     1  0 5月31 ?       00:00:00 /usr/bin/perl /app/serveradmin/bin/serveradmin -s octopus-proxy -a startall
app      22239 22237  0 5月31 ?       01:28:34 /app/serverware/jdk/bin/java -Dinstance.name=octopus-proxy -Xdebug -Xnoagent -Xrunjdwp:transport=dt_socket,address=8559,server=y,suspend=n -Xmx512M -XX:MaxPermSize=128M -XX:+UseConcMarkSweepGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+HeapDumpOnOutOfMemoryError -verbose:gc -Xloggc:logs/gc.log -Dlog4j.home=/app/logs/ezproxy -Djava.io.tmpdir=/app/servers/octopus-proxy/tmp -Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.port=8911 -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -DINSTANCE_NAME=octopus-proxy -Dtechsure.home=/app -Ddeploysys.home=/app/octopus-proxy -Dhttp.port=8072 -Dhttps.port=8373 -Dshutdown.port=8374 -Dajp.port=8375 -Drmi.reg.port=8376 -Drmi.server.port=8377 -Dbind.ip= -Dvip= -Djava.endorsed.dirs=/app/serverware/tomcat/common/endorsed -Dcatalina.base=/app/servers/octopus-proxy -Dcatalina.home=/app/servers/octopus-proxy -Djava.io.tmpdir=/app/servers/octopus-proxy/tmp org.apache.catalina.startup.Bootstrap start
root     23874     2  0 6月30 ?       00:00:00 [kworker/1:0H]
root     25547     1  0 6月29 ?       00:00:00 /usr/bin/perl /opt/tagent/bin/tagent server /opt/tagent/run/root
root     25551 25547  0 6月29 ?       00:00:13 /usr/bin/perl /opt/tagent/bin/tagent server /opt/tagent/run/root
root     25552 25547  0 6月29 ?       00:00:17 /usr/bin/perl /opt/tagent/bin/tagent server /opt/tagent/run/root
app      25829     1  0 6月03 ?       00:00:00 /usr/bin/perl /app/serveradmin/bin/serveradmin -s ezproxy -a restartall
app      25831 25829  0 6月03 ?       00:58:36 /app/serverware/jdk/bin/java -Dinstance.name=ezproxy -Xdebug -Xnoagent -Xrunjdwp:transport=dt_socket,address=8571,server=y,suspend=n -Xmx512M -XX:MaxPermSize=128M -XX:+UseConcMarkSweepGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+HeapDumpOnOutOfMemoryError -verbose:gc -Xloggc:logs/gc.log -Dlog4j.home=/app/logs/ezproxy -Djava.io.tmpdir=/app/servers/ezproxy/tmp -Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.port=8871 -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -DINSTANCE_NAME=ezproxy -Dtechsure.home=/app -Ddeploysys.home=/app/ezdeploy -Dhttp.port=8071 -Dhttps.port=8471 -Dshutdown.port=8671 -Dajp.port=8971 -Drmi.reg.port=8171 -Drmi.server.port=8271 -Dbind.ip= -Dvip= -Djava.endorsed.dirs=/app/serverware/tomcat/common/endorsed -Dcatalina.base=/app/servers/ezproxy -Dcatalina.home=/app/servers/ezproxy -Djava.io.tmpdir=/app/servers/ezproxy/tmp org.apache.catalina.startup.Bootstrap start
root     30991     2  0 6月30 ?       00:03:41 [kworker/3:2]
root     32256     2  0 6月20 ?       00:30:53 [kworker/u8:0]
